hubspot_id,hubspot_type,dataaxle_id,match_type,confidence_score
33569338922.0,building,969950112,exact_address_components,100.0
33575116814.0,building,939393625,exact_address_components,100.0
33580091160.0,building,manual_998973997,exact_address_components,100.0
13696114047.0,building,575758024,exact_address_components,100.0
33498181724.0,building,254118896,exact_address_components,100.0
33541142058.0,building,732274258,exact_address_components,100.0
33557282620.0,building,204165039,exact_address_components,100.0
33583983518.0,building,421148901,exact_address_components,100.0
33499916215.0,building,722315681,exact_address_components,100.0
25306163750.0,building,453197980,exact_address_components,100.0
6791709566.0,building,541796207,exact_address_components,100.0
4995546737.0,building,583081088,exact_address_components,100.0
4995108205.0,building,707418609,exact_address_components,100.0
13696025916.0,building,415573151,exact_address_components,100.0
13696134959.0,building,255984213,exact_address_components,100.0
13695400797.0,building,623422870,exact_address_components,100.0
13696109217.0,building,manual_998973736,exact_address_components,100.0
13696194176.0,building,manual_998973737,exact_address_components,100.0
13696176028.0,building,manual_998973743,exact_address_components,100.0
16510271080.0,building,493509517,exact_address_components,100.0
16522252461.0,building,manual_998973602,exact_address_components,100.0
19497720360.0,building,708528545,exact_address_components,100.0
19391830957.0,building,658355979,exact_address_components,100.0
19500021642.0,building,426168992,exact_address_components,100.0
19377240125.0,building,120539317,exact_address_components,100.0
19398546227.0,building,706445874,exact_address_components,100.0
36742111510.0,building,417714563,exact_address_components,100.0
36742111502.0,building,386075626,exact_address_components,100.0
36725790784.0,building,403737042,exact_address_components,100.0
36708854159.0,building,377965561,exact_address_components,100.0
19460917849.0,building,manual_998973344,exact_address_components,100.0
14248013599.0,building,896987138,exact_address_components,100.0
14165145401.0,building,407947709,exact_address_components,100.0
36708792175.0,building,manual_998973107,exact_address_components,100.0
36726038339.0,building,538443441,exact_address_components,100.0
36194375717.0,building,901480285,exact_address_components,100.0
1160789772.0,building,427747982,exact_address_components,100.0
1160862771.0,building,724004055,exact_address_components,100.0
36726038279.0,building,404613200,exact_address_components,100.0
36709294209.0,building,646797019,exact_address_components,100.0
10667272537.0,building,509924338,exact_address_components,100.0
11791191475.0,building,402894534,exact_address_components,100.0
36709294208.0,building,724022956,exact_address_components,100.0
13386978140.0,building,709303547,exact_address_components,100.0
36708792176.0,building,393751318,exact_address_components,100.0
1161061519.0,building,721146229,exact_address_components,100.0
14248066590.0,building,632969614,exact_address_components,100.0
1160907622.0,building,406167911,exact_address_components,100.0
29228929081.0,building,976059915,exact_address_components,100.0
19379287570.0,building,423553172,exact_address_components,100.0
14248148409.0,building,705501433,exact_address_components,100.0
14248003978.0,building,970163325,exact_address_components,100.0
14247048467.0,building,manual_998973080,exact_address_components,100.0
14247159479.0,building,manual_998973090,exact_address_components,100.0
14248044894.0,building,manual_998973096,exact_address_components,100.0
19399990950.0,building,manual_998973204,exact_address_components,100.0
19463167385.0,building,manual_998973209,exact_address_components,100.0
14247911996.0,building,751412947,exact_address_components,100.0
14248059541.0,building,426965025,exact_address_components,100.0
14069163866.0,building,590719282,exact_address_components,100.0
14069183285.0,building,752569782,exact_address_components,100.0
14248148480.0,building,427775710,exact_address_components,100.0
14247992359.0,building,715711458,exact_address_components,100.0
14065548097.0,building,238058481,exact_address_components,100.0
36708854175.0,building,717724780,exact_address_components,100.0
1161088358.0,building,396177669,exact_address_components,100.0
8238918686.0,building,427560551,exact_address_components,100.0
4510358916.0,building,manual_998973295,exact_address_components,100.0
24379736471.0,building,708433696,exact_address_components,100.0
24508360313.0,building,417730247,exact_address_components,100.0
24378917006.0,building,404074364,exact_address_components,100.0
36708792109.0,building,402557973,exact_address_components,100.0
19464862383.0,building,717387847,exact_address_components,100.0
19397720323.0,building,737402852,exact_address_components,100.0
8836200620.0,building,786457576,exact_address_components,100.0
39430735537.0,building,537293466,exact_address_components,100.0
36725790618.0,building,717463571,exact_address_components,100.0
1160850562.0,building,459255725,exact_address_components,100.0
36725852595.0,building,426910668,exact_address_components,100.0
19395769414.0,building,751341683,exact_address_components,100.0
26104472696.0,building,583491907,exact_address_components,100.0
29438645599.0,building,724359009,exact_address_components,100.0
14015945086.0,building,414657844,exact_address_components,100.0
14376549802.0,building,425746212,exact_address_components,100.0
14376596787.0,building,982390452,exact_address_components,100.0
14247911997.0,building,995522083,exact_address_components,100.0
41417269157.0,building,401696065,exact_address_components,100.0
36708854130.0,building,417818242,exact_address_components,100.0
1161011846.0,building,738411551,exact_address_components,100.0
1290799434.0,building,404399979,exact_address_components,100.0
36726038322.0,building,712582073,exact_address_components,100.0
36708854085.0,building,268527108,exact_address_components,100.0
36726038393.0,building,manual_998973106,exact_address_components,100.0
8238987640.0,building,717700996,exact_address_components,100.0
36725852566.0,building,723265058,exact_address_components,100.0
36708668338.0,building,651715252,fuzzy_street_name,90.9090909090909
22825897638.0,building,751086669,exact_address_components,100.0
19238375966.0,building,725317451,exact_address_components,100.0
19500385636.0,building,750738826,exact_address_components,100.0
19465482541.0,building,211181235,exact_address_components,100.0
19499973140.0,building,750738796,exact_address_components,100.0
19500376747.0,building,734486695,exact_address_components,100.0
19499115436.0,building,757449745,exact_address_components,100.0
19256485510.0,building,757627683,exact_address_components,100.0
19500385637.0,building,manual_998973217,exact_address_components,100.0
19500058442.0,building,manual_998973342,exact_address_components,100.0
19466104243.0,building,741740496,exact_address_components,100.0
19389603475.0,building,967124546,exact_address_components,100.0
19395935402.0,building,735609296,exact_address_components,100.0
19389751878.0,building,700369379,exact_address_components,100.0
40735300953.0,building,754886094,exact_address_components,100.0
5624305949.0,building,406121243,exact_address_components,100.0
1161031742.0,building,526522842,exact_address_components,100.0
5624369209.0,building,427805868,exact_address_components,100.0
1161082435.0,building,439677050,exact_address_components,100.0
1160750664.0,building,846664019,exact_address_components,100.0
5624242690.0,building,751300626,exact_address_components,100.0
14248053847.0,building,648980142,exact_address_components,100.0
1160834621.0,building,724797913,exact_address_components,100.0
1161021821.0,building,401488190,exact_address_components,100.0
36708792132.0,building,437062231,exact_address_components,100.0
4770955307.0,building,998313407,exact_address_components,100.0
4771920229.0,building,526309174,exact_address_components,100.0
1161117513.0,building,240796771,exact_address_components,100.0
4525618214.0,building,995595519,exact_address_components,100.0
1161076831.0,building,649518552,exact_address_components,100.0
1161066648.0,building,manual_998974337,exact_address_components,100.0
4770951220.0,building,728993802,exact_address_components,100.0
4525905779.0,building,808712624,exact_address_components,100.0
4770951218.0,building,manual_998974294,exact_address_components,100.0
4770955369.0,building,581929569,exact_address_components,100.0
5624343169.0,building,manual_998974339,exact_address_components,100.0
1161086745.0,building,559761838,exact_address_components,100.0
4770955402.0,building,manual_998974329,fuzzy_street_name,91.66666666666666
5624363826.0,building,718632286,exact_address_components,100.0
1161073482.0,building,478274756,exact_address_components,100.0
12397056630.0,building,manual_998974389,fuzzy_street_name,96.2962962962963
4770955350.0,building,658173471,exact_address_components,100.0
4525655964.0,building,205623069,exact_address_components,100.0
4770951203.0,building,manual_998974404,exact_address_components,100.0
4772032354.0,building,738894388,exact_address_components,100.0
5624385811.0,building,439150034,exact_address_components,100.0
5622521883.0,building,708201265,exact_address_components,100.0
1161104935.0,building,manual_998974394,exact_address_components,100.0
4772032175.0,building,manual_998974445,exact_address_components,100.0
5624363824.0,building,manual_998974449,exact_address_components,100.0
12626960203.0,building,manual_998974459,exact_address_components,100.0
5622521887.0,building,907159479,exact_address_components,100.0
4525602358.0,building,355516840,exact_address_components,100.0
4525613193.0,building,735096865,exact_address_components,100.0
4772032332.0,building,706953212,exact_address_components,100.0
4772032170.0,building,707088124,exact_address_components,100.0
13846956846.0,building,manual_998974333,exact_address_components,100.0
4771063365.0,building,244229993,exact_address_components,100.0
13574234965.0,building,manual_998974363,exact_address_components,100.0
14531149580.0,building,409660206,exact_address_components,100.0
14530907740.0,building,manual_998974318,exact_address_components,100.0
14531154336.0,building,manual_998974320,exact_address_components,100.0
14531083100.0,building,manual_998974323,exact_address_components,100.0
14528771339.0,building,manual_998974326,exact_address_components,100.0
1161039538.0,building,manual_998974303,exact_address_components,100.0
4771920241.0,building,718807674,exact_address_components,100.0
4770955375.0,building,657447066,exact_address_components,100.0
4770955291.0,building,manual_998974353,exact_address_components,100.0
4770955282.0,building,manual_998974396,exact_address_components,100.0
13574277135.0,building,manual_998974367,exact_address_components,100.0
13574288517.0,building,manual_998974368,exact_address_components,100.0
5624438808.0,building,516470655,exact_address_components,100.0
13574287464.0,building,786651580,exact_address_components,100.0
13574283060.0,building,manual_998974360,exact_address_components,100.0
1161090071.0,building,618183024,exact_address_components,100.0
4770927380.0,building,533172771,exact_address_components,100.0
4627166570.0,building,439193606,exact_address_components,100.0
4772032348.0,building,669138349,exact_address_components,100.0
1161098339.0,building,736597559,exact_address_components,100.0
1161095025.0,building,205514607,exact_address_components,100.0
4772032173.0,building,439221377,exact_address_components,100.0
1161073476.0,building,400395884,exact_address_components,100.0
4772019510.0,building,manual_998974391,exact_address_components,100.0
2468175421.0,building,manual_998974442,exact_address_components,100.0
4628009388.0,building,manual_998974448,exact_address_components,100.0
5624371116.0,building,manual_998974454,exact_address_components,100.0
4771063338.0,building,706689372,exact_address_components,100.0
4771063345.0,building,404219587,exact_address_components,100.0
13574244710.0,building,588776856,exact_address_components,100.0
4770951205.0,building,643241664,exact_address_components,100.0
4535182681.0,building,manual_998974395,exact_address_components,100.0
13846625407.0,building,545293516,exact_address_components,100.0
13846656679.0,building,manual_998974334,exact_address_components,100.0
5622471993.0,building,689014785,exact_address_components,100.0
1161063438.0,building,manual_998974428,exact_address_components,100.0
1161039540.0,building,manual_998974429,exact_address_components,100.0
32186525485.0,building,manual_998974381,exact_address_components,100.0
4772032325.0,building,manual_998974304,exact_address_components,100.0
4525585497.0,building,manual_998974305,exact_address_components,100.0
5624371117.0,building,221222300,exact_address_components,100.0
5624336460.0,building,536886708,exact_address_components,100.0
5624350806.0,building,402146165,exact_address_components,100.0
6667502874.0,building,604656199,exact_address_components,100.0
4771063350.0,building,217149137,exact_address_components,100.0
13846956847.0,building,425064972,exact_address_components,100.0
4771920258.0,building,762895358,exact_address_components,100.0
4771920261.0,building,758230880,exact_address_components,100.0
4771920244.0,building,422357357,exact_address_components,100.0
5624385807.0,building,403662766,exact_address_components,100.0
5624235142.0,building,736323317,exact_address_components,100.0
5624314430.0,building,717876567,exact_address_components,100.0
4770951207.0,building,232177659,exact_address_components,100.0
